layer,head,induction_score
5,5,0.9050313234329224
6,9,0.8962076902389526
5,1,0.8862112760543823
7,10,0.8857285380363464
7,2,0.8056960701942444
10,1,0.516900897026062
9,6,0.5029903650283813
9,9,0.4940028488636017
10,7,0.45868968963623047
5,0,0.42478105425834656
11,10,0.4131178557872772
10,0,0.4072847366333008
8,1,0.36386966705322266
11,9,0.34625717997550964
10,6,0.3309805691242218
10,11,0.28551653027534485
9,0,0.2810240089893341
7,1,0.21538089215755463
10,10,0.19091996550559998
9,1,0.16225408017635345
10,3,0.14243857562541962
8,6,0.14139479398727417
7,7,0.1131841242313385
9,2,0.11019497364759445
9,4,0.10192681849002838
11,5,0.0983271673321724
11,7,0.06662895530462265
8,10,0.06199279800057411
11,1,0.05756521224975586
9,8,0.057444773614406586
10,4,0.05340832844376564
11,6,0.05254862830042839
7,11,0.050192758440971375
8,3,0.043268218636512756
7,6,0.04205399751663208
9,11,0.03943363204598427
10,8,0.038750533014535904
11,4,0.03768668323755264
11,2,0.03634684532880783
10,2,0.03482309356331825
6,10,0.03290713578462601
6,6,0.028995472937822342
8,9,0.028569135814905167
5,9,0.02738925628364086
9,5,0.027021445333957672
8,8,0.025845009833574295
9,7,0.02564089745283127
11,11,0.02222171239554882
6,4,0.02102971076965332
3,4,0.020115088671445847
7,9,0.01883767917752266
5,8,0.018420767039060593
7,4,0.018284939229488373
5,7,0.01826242357492447
7,5,0.01814952678978443
8,4,0.01797005720436573
7,8,0.01793089509010315
4,10,0.017770269885659218
2,1,0.01770738512277603
7,3,0.01717752404510975
1,6,0.01706686243414879
4,4,0.016909493133425713
10,9,0.016870465129613876
9,10,0.01686604507267475
5,11,0.016818344593048096
5,10,0.016812698915600777
5,2,0.016756759956479073
6,2,0.016740189865231514
8,11,0.01632600463926792
6,1,0.016006387770175934
4,0,0.01578265056014061
4,8,0.015757745131850243
2,4,0.01573273353278637
1,9,0.015700481832027435
11,0,0.01566752977669239
10,5,0.015078865922987461
4,2,0.015056431293487549
8,0,0.015026028268039227
4,1,0.014987656846642494
8,7,0.014911477454006672
6,11,0.014667961746454239
3,0,0.014578147791326046
0,11,0.014312485232949257
8,5,0.014120787382125854
4,5,0.013886951841413975
6,3,0.013872567564249039
7,0,0.013754835352301598
1,7,0.013751818798482418
1,3,0.013569117523729801
1,8,0.013496039435267448
3,3,0.012965298257768154
0,2,0.012889389880001545
5,4,0.012742538005113602
3,9,0.01264822669327259
4,9,0.01264371071010828
9,3,0.012373078614473343
8,2,0.01230481918901205
6,5,0.011835909448564053
6,8,0.011799173429608345
6,0,0.011675197631120682
6,7,0.011571682058274746
1,5,0.011232995428144932
0,0,0.0110978614538908
3,5,0.011077065020799637
0,8,0.010572792030870914
2,11,0.010479139164090157
0,6,0.009924127720296383
0,9,0.009885689243674278
11,3,0.009049996733665466
5,6,0.008752763271331787
2,7,0.008493544533848763
11,8,0.00843825750052929
4,3,0.007981110364198685
5,3,0.007917597889900208
0,10,0.007765729911625385
3,1,0.0075502293184399605
3,10,0.007349705323576927
4,6,0.0070225996896624565
1,10,0.006683786865323782
3,11,0.005788080859929323
1,4,0.0054967645555734634
3,8,0.005359146278351545
2,0,0.004992768634110689
2,8,0.004742065444588661
2,6,0.0037318356335163116
1,2,0.002208044519647956
2,5,0.0018718314822763205
2,2,0.0014699137536808848
2,3,0.0013798942090943456
3,2,0.0013765066396445036
3,6,0.0013499787310138345
4,7,0.001305548008531332
0,7,0.00122228660620749
2,9,0.0011940989643335342
1,11,0.000964845297858119
3,7,0.0007621965487487614
2,10,0.000596697733271867
1,1,0.0005385146359913051
1,0,0.0005259453901089728
0,4,0.0001067608900484629
0,1,0.00010613217455102131
0,5,3.539598037605174e-05
0,3,1.9975128395799402e-07
4,11,3.3430178625337703e-09
